Step Strain_x Stress_x
10366.0 0.0079722627 -0.61027793 
10367.0 0.0079823057 -0.64404869 
10368.0 0.0079923486 -0.67752028 
10369.0 0.0080023916 -0.71069727 
10370.0 0.0080124345 -0.74353199 
10371.0 0.0080224775 -0.77582706 
10372.0 0.0080325205 -0.80749978 
10373.0 0.0080425634 -0.83843047 
10374.0 0.0080526064 -0.86840956 
10375.0 0.0080626494 -0.89734592 
10376.0 0.0080726923 -0.92517634 
10377.0 0.0080827353 -0.95162774 
10378.0 0.0080927783 -0.97655332 
10379.0 0.0081028212 -0.99985557 
10380.0 0.0081128642 -1.0215184 
10381.0 0.0081229072 -1.0413532 
10382.0 0.0081329501 -1.0590638 
10383.0 0.0081429931 -1.0747013 
10384.0 0.0081530361 -1.0882007 
10385.0 0.008163079 -1.0994686 
10386.0 0.008173122 -1.1084097 
10387.0 0.008183165 -1.1147663 
10388.0 0.0081932079 -1.1187002 
10389.0 0.0082032509 -1.1201236 
10390.0 0.0082132939 -1.1189531 
10391.0 0.0082233368 -1.1152848 
10392.0 0.0082333798 -1.1091419 
10393.0 0.0082434228 -1.1005845 
10394.0 0.0082534657 -1.0894507 
10395.0 0.0082635087 -1.0758559 
10396.0 0.0082735516 -1.059792 
10397.0 0.0082835946 -1.0412292 
10398.0 0.0082936376 -1.0205357 
10399.0 0.0083036805 -0.99756264 
10400.0 0.0083137235 -0.9724472 
10401.0 0.0083237665 -0.9453662 
10402.0 0.0083338094 -0.91633321 
10403.0 0.0083438524 -0.88535062 
10404.0 0.0083538954 -0.85231058 
10405.0 0.0083639383 -0.81731511 
10406.0 0.0083739813 -0.78033809 
10407.0 0.0083840243 -0.74132242 
10408.0 0.0083940672 -0.70022951 
10409.0 0.0084041102 -0.65688164 
10410.0 0.0084141532 -0.61136347 
10411.0 0.0084241961 -0.56375188 
10412.0 0.0084342391 -0.51410626 
10413.0 0.0084442821 -0.46246686 
10414.0 0.008454325 -0.40883965 
10415.0 0.008464368 -0.35329001 
10416.0 0.008474411 -0.29579425 
10417.0 0.0084844539 -0.23658018 
10418.0 0.0084944969 -0.17575482 
10419.0 0.0085045399 -0.11341795 
10420.0 0.0085145828 -0.04975575 
10421.0 0.0085246258 0.015237392 
10422.0 0.0085346687 0.081419575 
10423.0 0.0085447117 0.14878497 
10424.0 0.0085547547 0.21704996 
10425.0 0.0085647976 0.28610908 
10426.0 0.0085748406 0.35584138 
10427.0 0.0085848836 0.42614874 
10428.0 0.0085949265 0.49692339 
10429.0 0.0086049695 0.5683738 
10430.0 0.0086150125 0.64025116 
10431.0 0.0086250554 0.71233579 
10432.0 0.0086350984 0.78458444 
10433.0 0.0086451414 0.85687565 
10434.0 0.0086551843 0.92910194 
10435.0 0.0086652273 1.0013006 
10436.0 0.0086752703 1.0731653 
10437.0 0.0086853132 1.1446077 
10438.0 0.0086953562 1.2155045 
10439.0 0.0087053992 1.2856637 
10440.0 0.0087154421 1.3549198 
10441.0 0.0087254851 1.4231046 
10442.0 0.0087355281 1.4900278 
10443.0 0.008745571 1.5554902 
10444.0 0.008755614 1.6193099 
10445.0 0.008765657 1.6813435 
10446.0 0.0087756999 1.7414216 
10447.0 0.0087857429 1.799441 
10448.0 0.0087957858 1.8552571 
10449.0 0.0088058288 1.9087416 
10450.0 0.0088158718 1.959824 
10451.0 0.0088259147 2.0084412 
10452.0 0.0088359577 2.0545401 
10453.0 0.0088460007 2.0982166 
10454.0 0.0088560436 2.1395121 
10455.0 0.0088660866 2.1783827 
10456.0 0.0088761296 2.2148608 
10457.0 0.0088861725 2.2489969 
10458.0 0.0088962155 2.2810228 
10459.0 0.0089062585 2.3107586 
10460.0 0.0089163014 2.3383021 
10461.0 0.0089263444 2.3637523 
10462.0 0.0089363874 2.3872104 
10463.0 0.0089464303 2.4087197 
10464.0 0.0089564733 2.4283151 
10465.0 0.0089665163 2.4461019 
10466.0 0.0089765592 2.4621665 
10467.0 0.0089866022 2.4766077 
10468.0 0.0089966452 2.4896028 
10469.0 0.0090066881 2.5010737 
10470.0 0.0090167311 2.5110177 
10471.0 0.0090267741 2.5193912 
10472.0 0.009036817 2.5261733 
10473.0 0.00904686 2.5314302 
10474.0 0.0090569029 2.5351566 
10475.0 0.0090669459 2.5373391 
10476.0 0.0090769889 2.5380163 
10477.0 0.0090870318 2.5372682 
10478.0 0.0090970748 2.535007 
10479.0 0.0091071178 2.5312333 
10480.0 0.0091171607 2.5259183 
10481.0 0.0091272037 2.5190047 
10482.0 0.0091372467 2.5104058 
10483.0 0.0091472896 2.5000666 
10484.0 0.0091573326 2.4879195 
10485.0 0.0091673756 2.4739573 
10486.0 0.0091774185 2.4581272 
10487.0 0.0091874615 2.4403073 
10488.0 0.0091975045 2.4204596 
10489.0 0.0092075474 2.3985176 
10490.0 0.0092175904 2.3743678 
10491.0 0.0092276334 2.3480325 
10492.0 0.0092376763 2.3194175 
10493.0 0.0092477193 2.2884503 
10494.0 0.0092577623 2.2550617 
10495.0 0.0092678052 2.219204 
10496.0 0.0092778482 2.1809469 
10497.0 0.0092878912 2.140427 
10498.0 0.0092979341 2.0972733 
10499.0 0.0093079771 2.0515187 
10500.0 0.00931802 2.0031176 
10501.0 0.009328063 1.9520925 
10502.0 0.009338106 1.898454 
10503.0 0.0093481489 1.8423265 
10504.0 0.0093581919 1.7838086 
10505.0 0.0093682349 1.7230883 
10506.0 0.0093782778 1.660335 
10507.0 0.0093883208 1.5955667 
10508.0 0.0093983638 1.5287146 
10509.0 0.0094084067 1.460364 
10510.0 0.0094184497 1.3908107 
10511.0 0.0094284927 1.3203386 
10512.0 0.0094385356 1.2494278 
10513.0 0.0094485786 1.1783878 
10514.0 0.0094586216 1.1073713 
10515.0 0.0094686645 1.0367156 
10516.0 0.0094787075 0.9667649 
10517.0 0.0094887505 0.89792033 
10518.0 0.0094987934 0.83048754 
10519.0 0.0095088364 0.76481059 
10520.0 0.0095188794 0.70120077 
10521.0 0.0095289223 0.63997528 
10522.0 0.0095389653 0.58149653 
10523.0 0.0095490083 0.52600143 
10524.0 0.0095590512 0.47360981 
10525.0 0.0095690942 0.42463494 
10526.0 0.0095791371 0.37932504 
10527.0 0.0095891801 0.33781937 
10528.0 0.0095992231 0.30024067 
10529.0 0.009609266 0.2666447 
10530.0 0.009619309 0.23707917 
10531.0 0.009629352 0.2115724 
10532.0 0.0096393949 0.19023318 
10533.0 0.0096494379 0.17276956 
10534.0 0.0096594809 0.15916811 
10535.0 0.0096695238 0.14924023 
10536.0 0.0096795668 0.14269228 
10537.0 0.0096896098 0.13927338 
10538.0 0.0096996527 0.13872158 
10539.0 0.0097096957 0.14074476 
10540.0 0.0097197387 0.14493009 
10541.0 0.0097297816 0.15109545 
10542.0 0.0097398246 0.15897534 
10543.0 0.0097498676 0.16825034 
10544.0 0.0097599105 0.17861027 
10545.0 0.0097699535 0.18975299 
10546.0 0.0097799965 0.2014328 
10547.0 0.0097900394 0.21350078 
10548.0 0.0098000824 0.22554183 
10549.0 0.0098101254 0.23729707 
10550.0 0.0098201683 0.24868567 
10551.0 0.0098302113 0.25966351 
10552.0 0.0098402542 0.26976463 
10553.0 0.0098502972 0.27888499 
10554.0 0.0098603402 0.28686112 
10555.0 0.0098703831 0.29357253 
10556.0 0.0098804261 0.29911291 
10557.0 0.0098904691 0.30325209 
10558.0 0.009900512 0.30595309 
10559.0 0.009910555 0.30721616 
10560.0 0.009920598 0.3070637 
10561.0 0.0099306409 0.30557928 
10562.0 0.0099406839 0.30282999 
10563.0 0.0099507269 0.29888679 
10564.0 0.0099607698 0.29415908 
10565.0 0.0099708128 0.28848677 
10566.0 0.0099808558 0.28205313 
10567.0 0.0099908987 0.27503937 
10568.0 0.010000942 0.26763921 
10569.0 0.010010985 0.26001894 
10570.0 0.010021028 0.25235023 
10571.0 0.010031071 0.24486665 
10572.0 0.010041114 0.23783023 
10573.0 0.010051157 0.23142941 
10574.0 0.010061199 0.22610199 
10575.0 0.010071242 0.22185906 
10576.0 0.010081285 0.21880548 
10577.0 0.010091328 0.21713596 
10578.0 0.010101371 0.21713181 
10579.0 0.010111414 0.21885454 
10580.0 0.010121457 0.22245255 
10581.0 0.0101315 0.22791169 
10582.0 0.010141543 0.23533201 
10583.0 0.010151586 0.24476646 
10584.0 0.010161629 0.25625204 
10585.0 0.010171672 0.26984032 
10586.0 0.010181715 0.28546806 
10587.0 0.010191758 0.30304334 
10588.0 0.010201801 0.32231406 
10589.0 0.010211844 0.34314553 
10590.0 0.010221887 0.3653575 
10591.0 0.01023193 0.38878738 
10592.0 0.010241973 0.41325642 
10593.0 0.010252016 0.43860816 
10594.0 0.010262059 0.46452462 
10595.0 0.010272102 0.49086596 
10596.0 0.010282145 0.51722716 
10597.0 0.010292188 0.543521 
