Step Time Temp
369.0 36.9 1920.9522 
370.0 37.0 1910.149 
371.0 37.1 1897.4734 
372.0 37.2 1884.2803 
373.0 37.3 1871.3835 
374.0 37.4 1858.9798 
375.0 37.5 1847.1012 
376.0 37.6 1835.5773 
377.0 37.7 1823.9463 
378.0 37.8 1811.6829 
379.0 37.9 1798.4991 
380.0 38.0 1784.4436 
381.0 38.1 1769.724 
382.0 38.2 1754.56 
383.0 38.3 1739.245 
384.0 38.4 1724.1317 
385.0 38.5 1709.5197 
386.0 38.6 1695.6357 
387.0 38.7 1682.7231 
388.0 38.8 1670.9774 
389.0 38.9 1660.4647 
390.0 39.0 1651.2443 
391.0 39.1 1643.381 
392.0 39.2 1636.8987 
393.0 39.3 1631.7821 
394.0 39.4 1627.8627 
395.0 39.5 1624.7889 
396.0 39.6 1622.0499 
397.0 39.7 1619.0502 
398.0 39.8 1615.4714 
399.0 39.9 1611.4187 
400.0 40.0 1606.8482 
401.0 40.1 1601.6089 
402.0 40.2 1595.7774 
403.0 40.3 1589.4951 
404.0 40.4 1583.0 
405.0 40.5 1576.5089 
406.0 40.6 1570.2658 
407.0 40.7 1564.6804 
408.0 40.8 1560.0542 
409.0 40.9 1556.2544 
410.0 41.0 1552.8362 
411.0 41.1 1549.3716 
412.0 41.2 1545.6886 
413.0 41.3 1542.0196 
414.0 41.4 1538.7993 
415.0 41.5 1536.4586 
416.0 41.6 1535.2046 
417.0 41.7 1534.9113 
418.0 41.8 1535.3328 
419.0 41.9 1536.2128 
420.0 42.0 1537.2806 
421.0 42.1 1538.3945 
422.0 42.2 1539.5148 
423.0 42.3 1540.5737 
424.0 42.4 1541.5283 
425.0 42.5 1542.296 
426.0 42.6 1542.8085 
427.0 42.7 1543.0472 
428.0 42.8 1543.0214 
429.0 42.9 1542.7228 
430.0 43.0 1542.0685 
431.0 43.1 1541.0299 
432.0 43.2 1539.5449 
433.0 43.3 1537.3649 
434.0 43.4 1534.197 
435.0 43.5 1529.8027 
436.0 43.6 1524.096 
437.0 43.7 1517.2576 
438.0 43.8 1509.6297 
439.0 43.9 1501.5345 
440.0 44.0 1493.1082 
441.0 44.1 1484.3343 
442.0 44.2 1475.4883 
443.0 44.3 1466.9689 
444.0 44.4 1458.9352 
445.0 44.5 1451.2296 
446.0 44.6 1443.4551 
447.0 44.7 1435.2702 
448.0 44.8 1426.5014 
449.0 44.9 1417.1374 
450.0 45.0 1407.2632 
451.0 45.1 1396.9392 
452.0 45.2 1386.2631 
453.0 45.3 1375.4354 
454.0 45.4 1364.5812 
455.0 45.5 1353.652 
456.0 45.6 1342.9493 
457.0 45.7 1333.025 
458.0 45.8 1324.0959 
459.0 45.9 1316.2273 
460.0 46.0 1309.4759 
461.0 46.1 1303.8255 
462.0 46.2 1299.1905 
463.0 46.3 1295.5542 
464.0 46.4 1292.8804 
465.0 46.5 1290.8979 
466.0 46.6 1289.1666 
467.0 46.7 1287.3374 
468.0 46.8 1285.3045 
469.0 46.9 1283.1432 
470.0 47.0 1280.9474 
471.0 47.1 1278.745 
472.0 47.2 1276.4428 
473.0 47.3 1274.0039 
474.0 47.4 1271.4227 
475.0 47.5 1268.619 
476.0 47.6 1265.6274 
477.0 47.7 1262.6079 
478.0 47.8 1259.7193 
479.0 47.9 1257.039 
480.0 48.0 1254.5198 
481.0 48.1 1251.9666 
482.0 48.2 1249.2526 
483.0 48.3 1246.3372 
484.0 48.4 1243.146 
485.0 48.5 1239.6149 
486.0 48.6 1235.7232 
487.0 48.7 1231.5183 
488.0 48.8 1227.0453 
489.0 48.9 1222.2997 
490.0 49.0 1217.3091 
491.0 49.1 1212.2029 
492.0 49.2 1207.136 
493.0 49.3 1202.3256 
494.0 49.4 1197.937 
495.0 49.5 1193.932 
496.0 49.6 1190.1545 
497.0 49.7 1186.383 
498.0 49.8 1182.4538 
499.0 49.9 1178.3465 
500.0 50.0 1174.1799 
501.0 50.1 1170.1337 
502.0 50.2 1166.3349 
503.0 50.3 1162.7746 
504.0 50.4 1159.4978 
505.0 50.5 1156.5984 
506.0 50.6 1154.0864 
507.0 50.7 1151.965 
508.0 50.8 1150.1939 
509.0 50.9 1148.7303 
510.0 51.0 1147.5721 
511.0 51.1 1146.6867 
512.0 51.2 1145.9968 
513.0 51.3 1145.366 
514.0 51.4 1144.7551 
515.0 51.5 1144.2074 
516.0 51.6 1143.7405 
517.0 51.7 1143.4356 
518.0 51.8 1143.3681 
519.0 51.9 1143.5374 
520.0 52.0 1143.8416 
521.0 52.1 1144.1464 
522.0 52.2 1144.3551 
523.0 52.3 1144.4754 
524.0 52.4 1144.5582 
525.0 52.5 1144.5828 
526.0 52.6 1144.4739 
527.0 52.7 1144.105 
528.0 52.8 1143.3039 
529.0 52.9 1141.8783 
530.0 53.0 1139.6879 
531.0 53.1 1136.7347 
532.0 53.2 1133.158 
533.0 53.3 1129.1103 
534.0 53.4 1124.6609 
535.0 53.5 1119.8287 
536.0 53.6 1114.6381 
537.0 53.7 1109.1753 
538.0 53.8 1103.5685 
539.0 53.9 1097.9394 
540.0 54.0 1092.4435 
541.0 54.1 1087.2665 
542.0 54.2 1082.5868 
543.0 54.3 1078.5435 
544.0 54.4 1075.2329 
545.0 54.5 1072.717 
546.0 54.6 1071.025 
547.0 54.7 1070.1488 
548.0 54.8 1070.0418 
549.0 54.9 1070.6235 
550.0 55.0 1071.7948 
551.0 55.1 1073.4533 
552.0 55.2 1075.4969 
553.0 55.3 1077.8087 
554.0 55.4 1080.2493 
555.0 55.5 1082.6971 
556.0 55.6 1085.1194 
557.0 55.7 1087.5431 
558.0 55.8 1090.0284 
559.0 55.9 1092.5566 
560.0 56.0 1094.9734 
561.0 56.1 1097.1219 
562.0 56.2 1098.9147 
563.0 56.3 1100.3652 
564.0 56.4 1101.5544 
565.0 56.5 1102.5518 
566.0 56.6 1103.3445 
567.0 56.7 1103.7986 
568.0 56.8 1103.808 
569.0 56.9 1103.3737 
570.0 57.0 1102.5534 
571.0 57.1 1101.4511 
572.0 57.2 1100.1529 
573.0 57.3 1098.6735 
574.0 57.4 1097.0476 
575.0 57.5 1095.3345 
576.0 57.6 1093.5614 
577.0 57.7 1091.7722 
578.0 57.8 1089.992 
579.0 57.9 1088.2018 
580.0 58.0 1086.3317 
581.0 58.1 1084.2854 
582.0 58.2 1081.9943 
583.0 58.3 1079.4534 
584.0 58.4 1076.7115 
585.0 58.5 1073.8471 
586.0 58.6 1070.9439 
587.0 58.7 1068.1778 
588.0 58.8 1065.6044 
589.0 58.9 1063.0199 
590.0 59.0 1060.2229 
591.0 59.1 1057.0841 
592.0 59.2 1053.4917 
593.0 59.3 1049.4211 
594.0 59.4 1044.9146 
595.0 59.5 1040.0005 
596.0 59.6 1034.7362 
597.0 59.7 1029.2008 
598.0 59.8 1023.4864 
599.0 59.9 1017.6988 
600.0 60.0 1011.9636 
601.0 60.1 1006.4207 
602.0 60.2 1001.2026 
603.0 60.3 996.41535 
604.0 60.4 992.13309 
605.0 60.5 988.40446 
606.0 60.6 985.2613 
607.0 60.7 982.72429 
608.0 60.8 980.80257 
609.0 60.9 979.48538 
610.0 61.0 978.72562 
611.0 61.1 978.4237 
612.0 61.2 978.43647 
613.0 61.3 978.63665 
614.0 61.4 978.98606 
615.0 61.5 979.53208 
616.0 61.6 980.32795 
617.0 61.7 981.37427 
618.0 61.8 982.61854 
619.0 61.9 983.97562 
620.0 62.0 985.34224 
621.0 62.1 986.60706 
622.0 62.2 987.66644 
