a1 a2 energy
20.911513 20.911515 -3.6351361 
20.927889 20.92789 -3.6413425 
20.944264 20.944266 -3.6468095 
20.96064 20.960641 -3.6515821 
20.977015 20.977017 -3.6557034 
20.993391 20.993392 -3.6592145 
21.009766 21.009768 -3.6621541 
21.026142 21.026143 -3.664559 
21.042517 21.042519 -3.6664631 
21.058893 21.058894 -3.6678985 
21.075268 21.07527 -3.668895 
21.091644 21.091645 -3.6694802 
21.108019 21.108021 -3.66968 
21.124395 21.124396 -3.6695184 
21.14077 21.140772 -3.6690179 
21.157146 21.157147 -3.6681995 
21.173521 21.173523 -3.6670828 
21.189897 21.189898 -3.6656867 
21.206272 21.206274 -3.6640288 
21.222648 21.222649 -3.6621262 
21.239023 21.239025 -3.659995 
21.255399 21.2554 -3.6576511 
21.271774 21.271776 -3.6551098 
21.28815 21.288152 -3.6523861 
21.304525 21.304527 -3.6494948 
21.320901 21.320903 -3.6464504 
21.337276 21.337278 -3.6432672 
21.353652 21.353654 -3.6399593 
21.370027 21.370029 -3.6365409 
21.386403 21.386405 -3.6330257 
21.402778 21.40278 -3.6294274 
21.419154 21.419156 -3.6257595 
21.435529 21.435531 -3.6220351 
21.451905 21.451907 -3.6182673 
21.46828 21.468282 -3.6144686 
21.484656 21.484658 -3.6106512 
21.501031 21.501033 -3.6068269 
21.517407 21.517409 -3.603007 
21.533782 21.533784 -3.5992024 
21.550158 21.55016 -3.5954231 
21.566533 21.566535 -3.5916789 
21.582909 21.582911 -3.5879788 
21.599284 21.599286 -3.5843311 
21.61566 21.615662 -3.5807435 
21.632035 21.632037 -3.577223 
21.648411 21.648413 -3.5737758 
21.664786 21.664788 -3.5704076 
21.681162 21.681164 -3.5671233 
21.697537 21.697539 -3.5639272 
21.713913 21.713915 -3.5608228 
21.730288 21.73029 -3.5578132 
21.746664 21.746666 -3.5549007 
21.763039 21.763041 -3.552087 
21.779415 21.779417 -3.5493734 
21.79579 21.795792 -3.5467606 
21.812166 21.812168 -3.5442489 
21.828541 21.828543 -3.541838 
21.844917 21.844919 -3.5395273 
21.861292 21.861294 -3.5373158 
21.877668 21.87767 -3.5352022 
21.894043 21.894045 -3.5331849 
21.910419 21.910421 -3.5312618 
21.926794 21.926796 -3.5294309 
21.94317 21.943172 -3.5276898 
21.959545 21.959547 -3.5260359 
21.975921 21.975923 -3.5244665 
21.992296 21.992298 -3.5229788 
22.008672 22.008674 -3.5215698 
22.025047 22.025049 -3.5202365 
22.041423 22.041425 -3.5189758 
22.057798 22.0578 -3.5177845 
22.074174 22.074176 -3.5166594 
22.090549 22.090551 -3.5155973 
22.106925 22.106927 -3.5145951 
22.1233 22.123302 -3.5136494 
22.139676 22.139678 -3.5127572 
22.156051 22.156053 -3.5119152 
22.172427 22.172429 -3.5111202 
22.188802 22.188804 -3.5103693 
22.205178 22.20518 -3.5096593 
22.221553 22.221555 -3.5089868 
22.237929 22.237931 -3.5083474 
22.254304 22.254306 -3.5077385 
22.27068 22.270682 -3.5071572 
22.287055 22.287057 -3.5066009 
22.303431 22.303433 -3.5060671 
22.319806 22.319808 -3.5055531 
22.336182 22.336184 -3.5050567 
22.352557 22.352559 -3.5045752 
22.368933 22.368935 -3.5041065 
22.385308 22.38531 -3.5036482 
22.401684 22.401686 -3.5031981 
22.418059 22.418061 -3.502754 
22.434435 22.434437 -3.5023139 
22.45081 22.450812 -3.5018757 
22.467186 22.467188 -3.5014374 
22.483561 22.483563 -3.5009972 
22.499937 22.499939 -3.500553 
22.516312 22.516314 -3.5001032 
22.532688 22.53269 -3.499646 
22.549063 22.549065 -3.4991797 
22.565439 22.565441 -3.4987025 
22.581814 22.581816 -3.4982129 
22.59819 22.598192 -3.4977094 
22.614565 22.614567 -3.4971903 
22.630941 22.630943 -3.4966543 
22.647317 22.647318 -3.4961 
22.663692 22.663694 -3.4955258 
22.680068 22.680069 -3.4949305 
22.696443 22.696445 -3.4943128 
22.712819 22.71282 -3.4936714 
22.729194 22.729196 -3.4930051 
22.74557 22.745571 -3.4923126 
22.761945 22.761947 -3.4915929 
22.778321 22.778322 -3.4908447 
22.794696 22.794698 -3.4900671 
22.811072 22.811073 -3.4892588 
22.827447 22.827449 -3.488419 
