v_strainx v_stressx v_strainy v_stressy
0.0045844999 3.2878053 -0.0012718882 5.7784292 
0.0051657873 4.0983064 -0.00090140885 6.6144517 
0.0056516426 4.6943382 -0.00067080512 6.9766355 
0.0060326155 4.8446542 -0.00058394492 6.7022812 
0.0063082547 4.4938316 -0.00063210279 5.8609472 
0.0064880311 3.7112055 -0.00079560589 4.5858613 
0.006589756 2.6550308 -0.0010467032 3.0494152 
0.0066362609 1.5266275 -0.0013531417 1.4770903 
0.006651291 0.47943125 -0.0016827094 0.069250295 
0.0066564472 -0.39022982 -0.0020071696 -0.98830486 
0.0066693353 -1.0323244 -0.0023058188 -1.5846209 
0.0067026731 -1.4356512 -0.0025674908 -1.7966152 
0.0067641836 -1.6462557 -0.0027888133 -1.7979933 
0.0068576226 -1.7009438 -0.0029706028 -1.7009401 
0.006983592 -1.5725796 -0.0031155643 -1.4851604 
0.0071390473 -1.1989481 -0.0032286667 -1.0016293 
0.0073161011 -0.5172933 -0.0033200717 -0.12597771 
0.007500823 0.40459821 -0.0034075339 1.0507618 
0.0076746684 1.3171095 -0.0035144978 2.1852424 
0.0078195362 1.9608212 -0.0036632168 2.9275534 
0.0079229611 2.3573756 -0.0038678377 3.3450763 
0.0079775977 2.6588104 -0.0041358608 3.6660519 
0.0079780981 2.8925834 -0.0044727651 3.9162737 
0.0079205366 2.9354518 -0.0048825422 3.9184907 
0.0078048695 2.5863159 -0.0053641985 3.3823408 
0.007638915 1.830174 -0.0059060861 2.2737809 
0.0074385326 0.79880854 -0.0064854179 0.79818334 
0.007224851 -0.38885563 -0.0070725316 -0.79778055 
0.007021799 -1.7810068 -0.0076358894 -2.4316368 
0.0068570223 -3.4560719 -0.0081437372 -4.1371222 
0.0067634062 -5.213692 -0.0085634276 -5.8507881 
0.0067750411 -6.2958141 -0.008862632 -6.9977318 
0.0069121548 -6.1483162 -0.0090205452 -7.1129352 
0.0071702959 -4.949063 -0.0090367749 -6.1999074 
0.0075241687 -3.3252049 -0.0089309937 -4.7262768 
0.0079403189 -1.9721207 -0.0087335673 -3.3951481 
0.0083910575 -1.0997581 -0.0084716817 -2.4306199 
0.0088585814 -0.50339433 -0.0081650092 -1.6921463 
0.0093307761 -0.00010534899 -0.0078285693 -1.0462184 
0.0097974956 0.50106601 -0.0074754148 -0.4004137 
0.010248721 1.0470196 -0.0071184779 0.32564076 
0.010673618 1.5626781 -0.0067721616 1.039881 
0.011062064 1.9214641 -0.0064505001 1.5814738 
0.011407205 2.0423439 -0.0061639672 1.8621188 
0.011707066 1.8599274 -0.0059177489 1.8294892 
0.011965832 1.3943086 -0.0057107494 1.5061268 
0.012193382 0.82458525 -0.0055361001 0.98533677 
0.012401608 0.32589087 -0.0053830745 0.30647158 
0.012600835 -0.043878781 -0.0052379131 -0.48526835 
0.012798673 -0.31535744 -0.0050847541 -1.2933645 
0.013000657 -0.54388581 -0.004907574 -1.9565553 
0.013211393 -0.66238627 -0.0046933974 -2.2846627 
0.013433209 -0.63439762 -0.0044360546 -2.2773739 
0.01366543 -0.54548705 -0.0041361223 -2.087368 
0.013906149 -0.4466918 -0.0037978152 -1.825676 
0.014153274 -0.25247475 -0.0034267395 -1.454722 
0.014402784 0.1520684 -0.0030306381 -0.87482783 
0.014646407 0.73362925 -0.002621375 -0.10288018 
0.014872333 1.3387115 -0.0022145667 0.73027467 
0.015068383 1.861834 -0.0018269238 1.5242816 
0.015224174 2.2657917 -0.0014742188 2.2082692 
0.015331872 2.5337686 -0.0011698593 2.7160419 
0.015386513 2.6614501 -0.00092356733 3.0152193 
0.01538607 2.6532914 -0.00074075348 3.101931 
0.015331328 2.5510725 -0.0006224778 3.0046664 
0.015224996 2.3981088 -0.00056606808 2.7735149 
0.015070803 2.1432377 -0.00056617186 2.3922395 
0.014874522 1.663437 -0.00061446311 1.772221 
0.014646464 0.93889415 -0.00069789695 0.94643156 
0.01440182 0.19679422 -0.00079943736 0.13850331 
0.014155946 -0.30334423 -0.00090261346 -0.46721423 
