Step Strain_x Stress_x
1297.0 0.42984518 15.536003 
1298.0 0.42998404 15.025603 
1299.0 0.4301229 14.55591 
1300.0 0.43026176 14.084454 
1301.0 0.43040062 13.644188 
1302.0 0.43053948 13.267406 
1303.0 0.43067834 12.982228 
1304.0 0.4308172 12.805454 
1305.0 0.43095607 12.745326 
1306.0 0.43109493 12.79666 
1307.0 0.43123379 12.943348 
1308.0 0.43137265 13.159689 
1309.0 0.43151151 13.413352 
1310.0 0.43165037 13.673532 
1311.0 0.43178923 13.917921 
1312.0 0.43192809 14.138519 
1313.0 0.43206695 14.333585 
1314.0 0.43220581 14.589848 
1315.0 0.43234467 14.76557 
1316.0 0.43248353 14.991601 
1317.0 0.43262239 15.197631 
1318.0 0.43276125 15.361354 
1319.0 0.43290011 15.377054 
1320.0 0.43303897 15.531048 
1321.0 0.43317783 15.680803 
1322.0 0.43331669 15.849462 
1323.0 0.43345555 16.090176 
1324.0 0.43359441 16.434646 
1325.0 0.43373327 16.826199 
1326.0 0.43387213 17.150889 
1327.0 0.43401099 17.347078 
1328.0 0.43414985 17.430148 
1329.0 0.43428871 17.379146 
1330.0 0.43442757 17.423614 
1331.0 0.43456643 17.404874 
1332.0 0.4347053 17.295384 
1333.0 0.43484416 17.143922 
1334.0 0.43498302 16.954945 
1335.0 0.43512188 16.814672 
1336.0 0.43526074 16.587165 
1337.0 0.4353996 16.366931 
1338.0 0.43553846 16.182368 
1339.0 0.43567732 16.004753 
1340.0 0.43581618 15.971206 
1341.0 0.43595504 15.97658 
1342.0 0.4360939 16.103983 
1343.0 0.43623276 16.28751 
1344.0 0.43637162 16.505083 
1345.0 0.43651048 16.841853 
1346.0 0.43664934 17.077418 
1347.0 0.4367882 17.296948 
1348.0 0.43692706 17.500796 
1349.0 0.43706592 17.691323 
1350.0 0.43720478 17.784674 
1351.0 0.43734364 18.016123 
1352.0 0.4374825 18.395796 
1353.0 0.43762136 18.674521 
1354.0 0.43776022 18.956429 
1355.0 0.43789908 19.154511 
1356.0 0.43803794 19.386559 
1357.0 0.4381768 19.629674 
1358.0 0.43831566 19.78287 
1359.0 0.43845452 19.998293 
1360.0 0.43859339 20.205134 
1361.0 0.43873225 20.403397 
1362.0 0.43887111 20.586114 
1363.0 0.43900997 20.740315 
1364.0 0.43914883 20.851668 
1365.0 0.43928769 20.91237 
1366.0 0.43942655 20.92372 
1367.0 0.43956541 20.996804 
1368.0 0.43970427 20.95932 
1369.0 0.43984313 20.902095 
