Step Strain_x Stress_x Strain_y Stress_y
1058.0 0.01421486 1.1389671 -0.0045133437 -0.0061472364 
1059.0 0.014315697 1.3160163 -0.0045625727 0.10970992 
1060.0 0.014416534 1.4997102 -0.0046139994 0.22841398 
1061.0 0.01451737 1.6462412 -0.0046700085 0.32295619 
1062.0 0.014618207 1.7390139 -0.0047324991 0.39265069 
1063.0 0.014719044 1.756268 -0.0048028714 0.40868964 
1064.0 0.01481988 1.6743504 -0.0048814474 0.3156472 
1065.0 0.014920717 1.47745 -0.004966358 0.059571895 
1066.0 0.015021553 1.1732666 -0.0050524602 -0.36817579 
1067.0 0.01512239 0.80975587 -0.0051311646 -0.89828868 
1068.0 0.015223227 0.48869363 -0.005191827 -1.3655865 
1069.0 0.015324063 0.36847211 -0.0052250635 -1.517728 
1070.0 0.0154249 0.53597386 -0.0052278153 -1.2162765 
1071.0 0.015525737 0.9170543 -0.0052061285 -0.57220057 
1072.0 0.015626573 1.3493592 -0.0051729313 0.16065301 
1073.0 0.01572741 1.674216 -0.0051429424 0.72176629 
1074.0 0.015828247 1.8560511 -0.0051274374 1.0216528 
1075.0 0.015929083 1.9345678 -0.0051324481 1.0850636 
1076.0 0.01602992 1.9435686 -0.0051592546 0.93619483 
1077.0 0.016130756 1.9302757 -0.0052048695 0.66670379 
1078.0 0.016231593 1.9356766 -0.0052638794 0.40773156 
1079.0 0.01633243 1.9517567 -0.0053310811 0.21931293 
1080.0 0.016433266 1.9460688 -0.0054026887 0.085973844 
1081.0 0.016534103 1.9000951 -0.0054760232 -0.031045793 
1082.0 0.01663494 1.7839979 -0.0055487335 -0.20844237 
1083.0 0.016735776 1.5849183 -0.0056172551 -0.51090112 
1084.0 0.016836613 1.3532917 -0.0056755108 -0.8928773 
1085.0 0.016937449 1.2157965 -0.0057158248 -1.1517376 
1086.0 0.017038286 1.2981447 -0.0057329928 -1.0816555 
1087.0 0.017139123 1.5527416 -0.0057284171 -0.74202268 
1088.0 0.017239959 1.7959884 -0.0057089157 -0.40555343 
1089.0 0.017340796 1.9186785 -0.0056812458 -0.2645735 
1090.0 0.017441633 1.9975527 -0.005648238 -0.22516859 
1091.0 0.017542469 2.1353838 -0.0056106823 -0.10131039 
1092.0 0.017643306 2.3286725 -0.0055710675 0.17192552 
1093.0 0.017744143 2.4317643 -0.0055348886 0.43093139 
1094.0 0.017844979 2.3104049 -0.0055073583 0.44868879 
1095.0 0.017945816 2.0741912 -0.0054888378 0.2803545 
1096.0 0.018046652 1.9806467 -0.0054759439 0.19071652 
